Ceremony,Won,Film,Director,Birthdate
1,TRUE,Two Arabian Knights,Lewis Milestone,"September 30, 1895"
1,FALSE,Speedy,Ted Wilde,"December 16, 1889"
1,TRUE,7th Heaven,Frank Borzage,"April 23, 1894"
1,FALSE,Sorrell and Son,Herbert Brenon,"January 13, 1880"
1,FALSE,The Crowd,King Vidor,"February 08, 1894"
2,FALSE,Madame X,Lionel Barrymore,"April 28, 1878"
2,FALSE,The Broadway Melody,Harry Beaumont,"February 10, 1888"
2,FALSE,In Old Arizona,Irving Cummings,"October 09, 1888"
2,TRUE,The Divine Lady,Frank Lloyd,"February 02, 1886"
2,FALSE,Drag; Weary River,Frank Lloyd,"February 02, 1886"
2,FALSE,The Patriot,Ernst Lubitsch,"January 29, 1892"
3,FALSE,Anna Christie; Romance,Clarence Brown,"May 10, 1890"
3,FALSE,The Divorcee,Robert Leonard,"October 07, 1889"
3,FALSE,The Love Parade,Ernst Lubitsch,"January 29, 1892"
3,TRUE,All Quiet on the Western Front,Lewis Milestone,"September 30, 1895"
3,FALSE,Hallelujah,King Vidor,"February 08, 1894"
4,FALSE,Cimarron,Wesley Ruggles,"June 11, 1889"
4,FALSE,A Free Soul,Clarence Brown,"May 10, 1890"
4,FALSE,The Front Page,Lewis Milestone,"September 30, 1895"
4,FALSE,Morocco,Josef Von Sternberg,"May 29, 1894"
4,TRUE,Skippy,Norman Taurog,"February 23, 1899"
5,TRUE,Bad Girl,Frank Borzage,"April 23, 1894"
5,FALSE,The Champ,King Vidor,"February 08, 1894"
5,FALSE,Shanghai Express,Josef Von Sternberg,"May 29, 1894"
6,TRUE,Cavalcade,Frank Lloyd,"February 02, 1886"
6,FALSE,Lady for a Day,Frank Capra,"May 18, 1897"
6,FALSE,Little Women,George Cukor,"July 07, 1899"
7,TRUE,It Happened One Night,Frank Capra,"May 18, 1897"
7,FALSE,One Night of Love,Victor Schertzinger,"April 08, 1888"
7,FALSE,The Thin Man,W. S. Van Dyke,"March 21, 1889"
8,FALSE,Captain Blood,Michael Curtiz,"December 24, 1886"
8,TRUE,The Informer,John Ford,"February 01, 1894"
8,FALSE,The Lives of a Bengal Lancer,Henry Hathaway,"March 13, 1898"
8,FALSE,Mutiny on the Bounty,Frank Lloyd,"February 02, 1886"
9,FALSE,Dodsworth,William Wyler,"July 01, 1902"
9,FALSE,The Great Ziegfeld,Robert Z. Leonard,"October 07, 1889"
9,TRUE,Mr. Deeds Goes to Town,Frank Capra,"May 18, 1897"
9,FALSE,My Man Godfrey,Gregory La Cava,"March 10, 1892"
9,FALSE,San Francisco,W. S. Van Dyke,"March 21, 1889"
10,TRUE,The Awful Truth,Leo McCarey,"October 03, 1898"
10,FALSE,The Good Earth,Sidney Franklin,"March 21, 1893"
10,FALSE,The Life of Emile Zola,William Dieterle,"July 15, 1893"
10,FALSE,Stage Door,Gregory La Cava,"March 10, 1892"
10,FALSE,A Star Is Born,William Wellman,"February 29, 1896"
11,FALSE,Angels with Dirty Faces,Michael Curtiz,"December 24, 1886"
11,FALSE,Boys Town,Norman Taurog,"February 23, 1899"
11,FALSE,The Citadel,King Vidor,"February 08, 1894"
11,FALSE,Four Daughters,Michael Curtiz,"December 24, 1886"
11,TRUE,You Can't Take It with You,Frank Capra,"May 18, 1897"
12,TRUE,Gone with the Wind,Victor Fleming,"February 23, 1889"
12,FALSE,"Goodbye, Mr. Chips",Sam Wood,"July 10, 1883"
12,FALSE,Mr. Smith Goes to Washington,Frank Capra,"May 18, 1897"
12,FALSE,Stagecoach,John Ford,"February 01, 1894"
12,FALSE,Wuthering Heights,William Wyler,"July 01, 1902"
13,TRUE,The Grapes of Wrath,John Ford,"February 01, 1894"
13,FALSE,Kitty Foyle,Sam Wood,"July 10, 1883"
13,FALSE,The Letter,William Wyler,"July 01, 1902"
13,FALSE,The Philadelphia Story,George Cukor,"July 07, 1899"
13,FALSE,Rebecca,Alfred Hitchcock,"August 13, 1899"
14,FALSE,Citizen Kane,Orson Welles,"May 06, 1915"
14,FALSE,Here Comes Mr. Jordan,Alexander Hall,"January 11, 1894 "
14,TRUE,How Green Was My Valley,John Ford,"February 01, 1894"
14,FALSE,The Little Foxes,William Wyler,"July 01, 1902"
14,FALSE,Sergeant York,Howard Hawks,"May 30, 1896"
15,FALSE,Kings Row,Sam Wood,"July 10, 1883"
15,TRUE,Mrs. Miniver,William Wyler,"July 01, 1902"
15,FALSE,Random Harvest,Mervyn LeRoy,"October 15, 1900"
15,FALSE,Wake Island,John Farrow,"February 10, 1904"
15,FALSE,Yankee Doodle Dandy,Michael Curtiz,"December 24, 1886"
16,TRUE,Casablanca,Michael Curtiz,"December 24, 1886"
16,FALSE,Heaven Can Wait,Ernst Lubitsch,"January 29, 1892"
16,FALSE,The Human Comedy,Clarence Brown,"May 10, 1890"
16,FALSE,The More the Merrier,George Stevens,"December 18, 1904"
16,FALSE,The Song of Bernadette,Henry King,"January 24, 1886"
17,FALSE,Double Indemnity,Billy Wilder,"June 22, 1906"
17,TRUE,Going My Way,Leo McCarey,"October 03, 1898"
17,FALSE,Laura,Otto Preminger,"December 05, 1905"
17,FALSE,Lifeboat,Alfred Hitchcock,"August 13, 1899"
17,FALSE,Wilson,Henry King,"January 24, 1886"
18,FALSE,The Bells of St. Mary's,Leo McCarey,"October 03, 1898"
18,TRUE,The Lost Weekend,Billy Wilder,"June 22, 1906"
18,FALSE,National Velvet,Clarence Brown,"May 10, 1890"
18,FALSE,The Southerner,Jean Renoir,"September 15, 1894"
18,FALSE,Spellbound,Alfred Hitchcock,"August 13, 1899"
19,TRUE,The Best Years of Our Lives,William Wyler,"July 01, 1902"
19,FALSE,Brief Encounter,David Lean,"March 25, 1908"
19,FALSE,It's a Wonderful Life,Frank Capra,"May 18, 1897"
19,FALSE,The Killers,Robert Siodmak,"August 08, 1900"
19,FALSE,The Yearling,Clarence Brown,"May 10, 1890"
